pyroCb_id,pyroCb_date_utc,pyroCb_time_utc,pyroCb_longitude,pyroCb_latitude,country,region,satellite,wildfire_id,wildfire_ini_date_utc,wildfire_end_date_utc,length_days,wildfire_centroid_longitude,wildfire_centroid_latitude,extract_longitude,extract_latitude,extract_ini_date_utc,extract_end_date_utc,time_zone,length_fire
169,2019-04-30,310.0,135.083333,48.483333,Russia,Khabarovsk,HIMAWARI,22069174,2019-04-29,2019-05-04,5,135.0038764317056,48.97463953614769,135.0038764317056,48.97463953614769,2019-04-28 14:00:00+00:00,2019-05-03 14:00:00+00:00,Asia/Vladivostok,5
251,2021-10-20,600.0,142.0,-16.4,Australia,Queensland,HIMAWARI,,,,,,,142.0,-16.4,2021-10-16 14:00:00+00:00,2021-10-22 14:00:00+00:00,Australia/Brisbane,6
72,2019-03-02,,145.7,-38.0,Australia,Bunyip,HIMAWARI,21929941,2019-02-27,2019-03-08,9,145.67977330272475,-37.98891633393008,145.67977330272475,-37.98891633393008,2019-02-26 13:00:00+00:00,2019-03-07 13:00:00+00:00,Australia/Melbourne,9
84,2019-12-10,,146.4,-37.5,Australia,Mt Skene,HIMAWARI,22891122,2019-12-10,2020-01-27,48,148.85285228205476,-37.44122689539977,148.85285228205476,-37.44122689539977,2019-12-09 13:00:00+00:00,2020-01-26 13:00:00+00:00,Australia/Melbourne,48
65,2019-02-03,,146.53,-37.96,Australia,Walhalla,HIMAWARI,21842834,2019-01-31,2019-02-11,11,146.50354196990196,-37.94584665620738,146.50354196990196,-37.94584665620738,2019-01-30 13:00:00+00:00,2019-02-10 13:00:00+00:00,Australia/Melbourne,11
73,2019-03-03,,146.7,-37.65,Australia,Licola,HIMAWARI,21929928,2019-02-28,2019-03-23,23,146.79380045681063,-37.677616080117495,146.79380045681063,-37.677616080117495,2019-02-27 13:00:00+00:00,2019-03-22 13:00:00+00:00,Australia/Melbourne,23
71,2019-03-02,,146.7,-37.6,Australia,Licola,HIMAWARI,21929928,2019-02-28,2019-03-23,23,146.79380045681063,-37.677616080117495,146.79380045681063,-37.677616080117495,2019-02-27 13:00:00+00:00,2019-03-22 13:00:00+00:00,Australia/Melbourne,23
75,2019-03-04,,146.75,-37.7,Australia,Licola,HIMAWARI,21929928,2019-02-28,2019-03-23,23,146.79380045681063,-37.677616080117495,146.79380045681063,-37.677616080117495,2019-02-27 13:00:00+00:00,2019-03-22 13:00:00+00:00,Australia/Melbourne,23
81,2019-03-05,,146.8,-37.7,Australia,Licola,HIMAWARI,21929928,2019-02-28,2019-03-23,23,146.79380045681063,-37.677616080117495,146.79380045681063,-37.677616080117495,2019-02-27 13:00:00+00:00,2019-03-22 13:00:00+00:00,Australia/Melbourne,23
78,2019-03-04,,146.8,-37.5,Australia,Mt Wellington,HIMAWARI,22015685,2019-03-01,2019-03-13,12,146.82437045868676,-37.501826919764675,146.82437045868676,-37.501826919764675,2019-02-28 13:00:00+00:00,2019-03-12 13:00:00+00:00,Australia/Melbourne,12
